OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,SEG_COMPKEY,STDY_TITLE,STDY_LABEL,YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,Shape,Shape_Length
134,300200,N,1212,1ST AVE S,270,311020,"1ST AVE S, N/O S SPOKANE SR ST; TOTAL FLOW; CH1; 24Oct2012 11:30",16065,11604,1784,1645,1212,"1ST AVE S, N/O S SPOKANE SR ST","311020, 2012-10-24, TOTAL",2012,Y, ,189981,0.978,18563,18600,"(47.59920482900003, -122.33418803099994)",10030.637876615593996
135,134650170,N,17265,NE 65TH ST,260,310025,"NE 65TH ST, W/O 15TH AVE NE; TOTAL FLOW; CH(AGG); 24Apr2012 13:00",16923,9635,1290,1397,17265,"NE 65TH ST, W/O 15TH AVE NE","310025, 2012-04-24, TOTAL",2012,Y,"NE 65TH ST, W/O 15TH AVE NE",17432.400000000001455,0.984,17153,17200,"(47.675969261000034, -122.331352832)",4785.511940951250835
136,121400040,N,15557,N 46TH ST,243,310005,"N 46TH ST, W/O PHINNEY AVE N; TOTAL FLOW; CH(AGG); 04Sep2012 11:30",0,12639,1556,1732,15557,"N 46TH ST, W/O PHINNEY AVE N","310005, 2012-09-04, TOTAL",2012,Y,"N 46TH ST, W/O PHINNEY AVE N",24355.600000000002183,0.974,23722,23700,"(47.66138529600005, -122.34214535899997)",6326.322001565728897
137,124550040,N,15893,N 80TH ST,50,309445,"N 80TH ST, W/O LINDEN AVE N; TOTAL FLOW; CHB TUBE; 22Oct2012 12:30",22122,12114,1380,1820,15893,"N 80TH ST, W/O LINDEN AVE N","309445, 2012-10-22, TOTAL",2012,Y,"N 80TH ST, W/O LINDEN AVE N",22622.600000000002183,0.978,22125,22100,"(47.68694220500004, -122.34450322999999)",7953.155529725539964
138,44550180,N,7997,6TH AVE S,238,309919,"6TH AVE S, S/O S FOREST ST; TOTAL FLOW; CH(AGG); 21Aug2012 10:30",14775,10238,1414,1380,7997,"6TH AVE S, S/O S FOREST ST","309919, 2012-08-21, TOTAL",2012,Y,"6TH AVE S, S/O S FOREST ST",17916,1.008,18059,18100,"(47.57772508700003, -122.32597792399997)",4151.850987401828206
139,117400050,N,15012,N 105TH ST,31,311240,Aggregate Title,22463,12098,1551,1646,15012,Aggregate Title,"311240, 2012-09-05, TOTAL",2012,Y,"N 105TH ST, W/O EVANSTON W AVE N",23368,0.974,22760,22800,"(47.70508354100008, -122.35545274599997)",2649.000439254626144
140,5550070,N,2034,15TH AVE NE,43,309877,"15TH AVE NE, S/O NE 45TH ST; TOTAL FLOW; CH(AGG); 13Nov2012 11:15",12782,8411,1067,1340,2034,"15TH AVE NE, S/O NE 45TH ST","309877, 2012-11-13, TOTAL",2012,Y,"15TH AVE NE, S/O NE 45TH ST",14175.800000000001091,1.04,14743,14700,"(47.653375236000045, -122.31218414899996)",2877.462417804946199
141,86850010,N,11902,MONTLAKE BR,29,311370,"MONTLAKE BR, S/O POINT A; TOTAL FLOW; CH(AGG)(2011 DATA); 12Oct2012 10:15",53926,30543,3546,4318,11902,"MONTLAKE BR, S/O POINT A","311370, 2012-10-12, TOTAL",2012,Y,"MONTLAKE BR, S/O POINT A",57018.599999999998545,0.978,55764,55800,"(47.645263777000025, -122.30461715199999)",2147.11113035405242
142,80550170,N,11209,LAKE WASHINGTON BLVD E,118,311055,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST; TOTAL FLOW; CH(AGG); 23Aug2012 11:00",17856,10960,1409,1622,11209,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST","311055, 2012-08-23, TOTAL",2012,Y,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST",19296,1.008,19450,19500,"(47.62601780000006, -122.29244003299999)",8760.416384306496184
143,88150040,N,11970,NICKERSON ST,27,310049,"NICKERSON ST, NW/O FLORENTIA ST; TOTAL FLOW; CH(AGG); 17Apr2012 12:00",21273,12501,1610,1985,11970,"NICKERSON ST, NW/O FLORENTIA ST","310049, 2012-04-17, TOTAL",2012,Y,"NICKERSON ST, NW/O FLORENTIA ST",22527.600000000002183,0.984,22167,22200,"(47.646888415000035, -122.35136120299995)",7124.192438028353536
144,9550150,Y,2757,2ND AVE,212,308941,"2ND AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 02Aug2012 11:15",15077,9180,1463,1410,2757,"2ND AVE, SE/O PIKE ST","308941, 2012-08-02, TOTAL",2012,Y,"2ND AVE, SE/O PIKE ST",16306.200000000000728,1.008,16437,16400,"(47.59842209200008, -122.32896982499994)",5381.627111980106747
145,93450260,N,12364,RAINIER AVE S,74,311067,"RAINIER AVE S, NW/O S MCCLELLAN ST; TOTAL FLOW; CH(AGG); 03Dec2012 11:30",33085,18878,2084,2721,12364,"RAINIER AVE S, NW/O S MCCLELLAN ST","311067, 2012-12-03, TOTAL",2012,Y,"RAINIER AVE S, NW/O S MCCLELLAN ST",34971,1.001,35006,35000,"(47.59216265800006, -122.30869003499998)",5670.942206346710009
146,63450135,Y,10007,DENNY WAY,266,309945,"DENNY WAY, W/O 6TH AVE; TOTAL FLOW; CH(AGG); 22Aug2012 10:45",29646,14754,1918,1950,10007,"DENNY WAY, W/O 6TH AVE","309945, 2012-08-22, TOTAL",2012,Y,"DENNY WAY, W/O 6TH AVE",29594.600000000002183,1.008,29831,29800,"(47.61859203600005, -122.35283934999995)",2574.221294739885252
147,162850240,N,20501,S JACKSON ST,186,311112,"S JACKSON ST, W/O 23RD AVE S; TOTAL FLOW; CH(AGG); 20Sep2012 10:15",14235,8431,1230,1150,20501,"S JACKSON ST, W/O 23RD AVE S","311112, 2012-09-20, TOTAL",2012,Y,"S JACKSON ST, W/O 23RD AVE S",14923.600000000000364,0.974,14536,14500,"(47.599210087000074, -122.31413725499999)",5318.574127167029474
148,139500020,N,18039,NE PACIFIC ST,241,310041,"NE PACIFIC ST, NE/O 2ND AVE NE; TOTAL FLOW; CH(AGG); 03Oct2012 11:00",15030,9588,1324,1522,18039,"NE PACIFIC ST, NE/O 2ND AVE NE","310041, 2012-10-03, TOTAL",2012,Y,"NE PACIFIC ST, NE/O 2ND AVE NE",16296.800000000001091,0.978,15938,15900,"(47.64958972900007, -122.34974744899995)",7934.3511119965533
149,95950080,N,12762,SEAVIEW AVE NW,177,311232,"SEAVIEW AVE NW, N/O NW 67TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 09:45",3556,2159,255,354,12762,"SEAVIEW AVE NW, N/O NW 67TH ST","311232, 2012-11-01, TOTAL",2012,Y,"SEAVIEW AVE NW, N/O NW 67TH ST",3354.400000000000091,1.04,3489,3500,"(47.66867869200007, -122.38757648699999)",16934.406660877120885
150,134650290,N,17277,NE 65TH ST,249,311104,"NE 65TH ST, W/O 25TH AVE NE; TOTAL FLOW; CH(AGG); 28Mar2012 12:15",15426,8995,1187,1365,17277,"NE 65TH ST, W/O 25TH AVE NE","311104, 2012-03-28, TOTAL",2012,Y,"NE 65TH ST, W/O 25TH AVE NE",15810,1.046,16537,16500,"(47.67578344000003, -122.31192972099996)",2778.454149056988626
151,50000425,N,8689,AIRPORT WAY S,,,,,,,,,,,,,,,,,,"(47.57139895700004, -122.32274644999995)",6686.533077574903473
152,3250020,N,1551,12TH AVE E,267,311028,"12TH AVE E, N/O E JOHN ST; TOTAL FLOW; CH(AGG); 27Mar2012 12:15",7940,4829,564,806,1551,"12TH AVE E, N/O E JOHN ST","311028, 2012-03-27, TOTAL",2012,Y,"12TH AVE E, N/O E JOHN ST",8267.399999999999636,1.046,8648,8600,"(47.61993670700008, -122.31692834299997)",2417.627495236642062
153,82920010,N,11495,M L KING JR WAY E,245,311059,"M L KING JR WAY E, S/O E JOHN ST; TOTAL FLOW; CH(AGG); 23Aug2012 10:30",6783,4344,545,704,11495,"M L KING JR WAY E, S/O E JOHN ST","311059, 2012-08-23, TOTAL",2012,Y,"M L KING JR WAY E, S/O E JOHN ST",7458,1.008,7518,7500,"(47.607996624000066, -122.29625430699997)",5599.151101707795533
154,165650100,N,20848,S MICHIGAN ST,66,310083,"S MICHIGAN ST, E/O 6TH AVE S; TOTAL FLOW; CH(AGG); 30Apr2012 10:15",37489,21266,2690,2827,20848,"S MICHIGAN ST, E/O 6TH AVE S","310083, 2012-04-30, TOTAL",2012,Y,"S MICHIGAN ST, E/O 6TH AVE S",41437.599999999998545,0.984,40775,40800,"(47.54320179800004, -122.33399432999994)",3586.293510196811894
155,116900140,N,14946,E YESLER WAY,71,311093,"E YESLER WAY, W/O 23RD AVE; TOTAL FLOW; CH(AGG); 27Mar2012 11:30",7690,4773,732,684,14946,"E YESLER WAY, W/O 23RD AVE","311093, 2012-03-27, TOTAL",2012,Y,"E YESLER WAY, W/O 23RD AVE",8218,1.046,8596,8600,"(47.601695164000034, -122.31782315499999)",6243.188938916101506
156,167350150,N,21055,S OTHELLO ST,97,311114,"S OTHELLO ST, E/O 43RD AVE S; TOTAL FLOW; CH(AGG); 03Dec2012 12:15",7595,4342,494,697,21055,"S OTHELLO ST, E/O 43RD AVE S","311114, 2012-12-03, TOTAL",2012,Y,"S OTHELLO ST, E/O 43RD AVE S",7894.400000000000546,1.001,7902,7900,"(47.53895778300006, -122.29608148499995)",6539.889646728735897
157,2300050,N,1408,11TH AVE NE,102,309448,"11TH AVE NE, S/O NE 45TH ST; N FLOW; CHB TUBE; 22Oct2012 14:00",10044,7442,591,1575,1408,"11TH AVE NE, S/O NE 45TH ST","309448, 2012-10-22, N",2012,Y,"11TH AVE NE, S/O NE 45TH ST",11163.399999999999636,0.978,10918,10900,"(47.65601781700008, -122.31784158799996)",7370.841363788322269
158,520040,N,1270,1ST AV S BR NB,209,311304,"1ST AV S BR (NB&SB), S/O POINT A; TOTAL FLOW; CH(AGG); 06Sep2012 10:30",81202,50041,6537,7365,1270,"1ST AV S BR (NB&SB), S/O POINT A","311304, 2012-09-06, TOTAL",2012,Y,"1ST AV S BR NB & SB, S/O POINT A",91586.400000000008731,0.974,89205,89200,"(47.54737114200003, -122.33383113599996)",6423.333964819361427
159,94850310,N,12623,ROOSEVELT WAY NE,219,309470,"ROOSEVELT WAY NE, N/O NE 73RD ST; S FLOW; CHB TUBE; 05Nov2012 10:45",11468,7543,1185,1132,12623,"ROOSEVELT WAY NE, N/O NE 73RD ST","309470, 2012-11-05, S",2012,Y,"ROOSEVELT WAY NE, N/O NE 73RD ST",11985.200000000000728,1.04,12465,12500,"(47.68155393100005, -122.31745695999996)",597.649017834873689
160,48000400,N,8406,8TH AVE NW,95,311211,"8TH AVE NW, S/O NW 80TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 10:45",19166,12033,1590,1913,8406,"8TH AVE NW, S/O NW 80TH ST","311211, 2012-11-01, TOTAL",2012,Y,"8TH AVE NW, S/O NW 80TH ST",20239,1.04,21049,21000,"(47.660481978000064, -122.36619104799996)",14468.643063151630486
161,200640,N,1113,1ST AVE NE,49,308102,"1ST AVE NE, S/O NE 145TH ST; TOTAL FLOW; CH2; 14May2012 10:15",4794,3343,478,581,1113,"1ST AVE NE, S/O NE 145TH ST","308102, 2012-05-14, TOTAL",2012,Y,"1ST AVE NE, S/O NE 145TH ST",5404.600000000000364,1.002,5415,5400,"(47.72316551600005, -122.32891834799995)",3986.725487986653206
162,174000400,N,21861,FAUNTLEROY FERRY DOCK,87,311261,Aggregate Title,4987,3079,500,396,21861,Aggregate Title,"311261, 2012-05-01, TOTAL",2012,Y,"SW BARTON ST, SW/O FAUNTLEROY WAY SW",5276.800000000000182,1.002,5287,5300,"(47.52317298100007, -122.39298987199999)",304.679593832594207
163,157550090,N,19832,S DEARBORN ST,158,310077,"S DEARBORN ST, W/O 13TH AVE S; TOTAL FLOW; CH(AGG); 19Apr2012 12:15",20258,11037,1388,1491,19832,"S DEARBORN ST, W/O 13TH AVE S","310077, 2012-04-19, TOTAL",2012,Y,"S DEARBORN ST, W/O 13TH AVE S",21202.200000000000728,0.984,20863,20900,"(47.59648601400005, -122.32904621999995)",4409.291525259536684
164,38850120,Y,7235,5TH AVE,62,308945,"5TH AVE, SE/O PIKE ST; SE FLOW; CH(AGG); 19Jul2012 10:15",13247,7084,987,953,7235,"5TH AVE, SE/O PIKE ST","308945, 2012-07-19, SE",2012,Y,"5TH AVE, SE/O PIKE ST",13782.600000000000364,0.981,13521,13500,"(47.60168377100007, -122.32765594099999)",4844.808539477606246
165,93450010,N,12340,RAINIER AVE S,163,310065,"RAINIER AVE S, SE/O BOREN AVE S; TOTAL FLOW; CH(AGG); 19Mar2012 11:15",31757,17705,2016,2515,12340,"RAINIER AVE S, SE/O BOREN AVE S","310065, 2012-03-19, TOTAL",2012,Y,"RAINIER AVE S, SE/O BOREN AVE S",33226.599999999998545,1.046,34755,34800,"(47.599210087000074, -122.31413725499999)",2902.009391072332619
166,65600100,N,10218,ELLIOTT AVE W,197,309961,"ELLIOTT AVE W, SE/O W MERCER PL; TOTAL FLOW; CH(AGG); 17Apr2012 11:00",40465,23853,3255,3527,10218,"ELLIOTT AVE W, SE/O W MERCER PL","309961, 2012-04-17, TOTAL",2012,Y,"ELLIOTT AVE W, SE/O W MERCER PL",43509.200000000004366,0.984,42813,42800,"(47.61172587600004, -122.34703649299996)",10823.24461060867543
167,86150160,N,11775,MERCER ST,131,311227,"MERCER SR ST, W/O FAIRVIEW N AVE N; TOTAL FLOW; CH(AGG); 01Feb2012 10:30",54545,31470,3600,4751,11775,"MERCER SR ST, W/O FAIRVIEW N AVE N","311227, 2012-02-01, TOTAL",2012,Y,"MERCER ST, W/O FAIRVIEW AVE N",58587.599999999998545,1.019,59701,59700,"(47.62455222500006, -122.34365433699998)",2310.088514441662937
168,151300110,N,19223,NW MARKET ST,189,310051,"NW MARKET ST, W/O 8TH AVE NW; TOTAL FLOW; CH(AGG); 19Oct2012 09:30",23607,12858,1533,1833,19223,"NW MARKET ST, W/O 8TH AVE NW","310051, 2012-10-19, TOTAL",2012,Y,"NW MARKET ST, W/O 8TH AVE NW",24354.400000000001455,0.978,23819,23800,"(47.668650650000075, -122.36220391299997)",6251.59244867808593
169,121250320,N,15553,N 45TH ST,151,311099,"N 45TH ST, W/O EASTERN AVE N; TOTAL FLOW; CH(AGG); 24Apr2012 12:30",22461,11056,1339,1466,15553,"N 45TH ST, W/O EASTERN AVE N","311099, 2012-04-24, TOTAL",2012,Y,"N 45TH ST, W/O EASTERN AVE N",22690.799999999999272,0.984,22328,22300,"(47.66138529600005, -122.34214535899997)",4925.065138570858835
170,83150030,N,11604,MAGNOLIA BR,250,309995,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP; TOTAL FLOW; CH(AGG); 01Aug2012 09:45",17050,9624,1194,1460,11604,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP","309995, 2012-08-01, TOTAL",2012,Y,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP",17560,1.008,17700,17700,"(47.63349905000007, -122.37619535299996)",8172.694429716227205
171,104400090,N,13540,WESTLAKE AVE N,263,310126,"WESTLAKE AVE N, S/O HIGHLAND DR; TOTAL FLOW; CH(AGG); 24Oct2012 10:45",22258,13420,1844,2140,13540,"WESTLAKE AVE N, S/O HIGHLAND DR","310126, 2012-10-24, TOTAL",2012,Y,"WESTLAKE AVE N, S/O HIGHLAND DR",24363.400000000001455,0.978,23827,23800,"(47.62579577000008, -122.33863455)",8936.625931376462177
172,80150170,N,11159,LAKE CITY WAY NE,23,310560,"LAKE CITY WAY NE, NE/O NE 95TH ST; TOTAL FLOW; CH(AGG); 09Oct2012 12:00",34636,20888,2826,3090,11159,"LAKE CITY WAY NE, NE/O NE 95TH ST","310560, 2012-10-09, TOTAL",2012,Y,"LAKE CITY WAY NE, NE/O NE 95TH ST",37541.80000000000291,0.978,36716,36700,"(47.68310482500004, -122.31696097799994)",8963.030435126449447
173,178150150,N,22372,,165,309434,"SW HOLDEN ST, W/O DELRIDGE WAY SW; TOTAL FLOW; CHB TUBE; 23Oct2012 11:30",5557,3663,653,516,22372,"SW HOLDEN ST, W/O DELRIDGE WAY SW","309434, 2012-10-23, TOTAL",2012,Y,"SW HOLDEN ST, W/O DELRIDGE WAY SW",6079.400000000000546,0.978,5946,5900,"(47.53369186200007, -122.36042453999994)",4000.473908819838471
174,13750030,N,3444,23RD AVE S,136,310669,"23RD AVE S, S/O S JACKSON ST; TOTAL FLOW; CH2; 19Mar2012 11:30",13178,8185,1089,1301,3444,"23RD AVE S, S/O S JACKSON ST","310669, 2012-03-19, TOTAL",2012,Y,"23RD AVE S, S/O S JACKSON ST",13719.600000000000364,1.046,14351,14400,"(47.59928129200006, -122.30223345099995)",5429.362455647543356
175,59920010,N,534681,,90,311301,"COLMAN DOCK , W/O ALASKAN WAY; TOTAL FLOW; CH(AGG); 13Aug2012 10:15",8918,6289,846,890,534681,"COLMAN DOCK , W/O ALASKAN WAY","311301, 2012-08-13, TOTAL",2012,Y,"COLMAN DOCK , W/O ALASKAN WAY",10126.5,1.008,10208,10200,"(47.601842788000056, -122.33759941899996)",260.525766088635521
176,50500050,Y,8738,ALASKAN WAY S,184,310693,"ALASKAN WAY S, N/O S KING ST; TOTAL FLOW; CHB TUBE; 12Mar2012 12:00",11643,7426,825,1386,8738,"ALASKAN WAY S, N/O S KING ST","310693, 2012-03-12, TOTAL",2012,Y,"ALASKAN WAY S, N/O S KING ST",12128.399999999999636,1.046,12686,12700,"(47.60171754600003, -122.33658213799998)",5022.673358605398789
177,50500170,N,8742,ALASKAN WAY S,237,309951,"EAST MARGINAL (NB&SB) WAY S, N/O ALASKAN WY VI NB; TOTAL FLOW; CH(AGG); 07Jun2012 11:15",11676,9842,1404,1419,8742,"EAST MARGINAL (NB&SB) WAY S, N/O ALASKAN WY VI NB","309951, 2012-06-07, TOTAL",2012,Y,"EAST MARGINAL NB & SB WAY S, N/O ALASKAN WY VI NB",14738.399999999999636,0.964,14208,14200,"(47.58831040300004, -122.33844063699996)",6192.230082287675032
178,94850600,N,12652,ROOSEVELT WAY NE ,119,310069,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY; TOTAL FLOW; CH(AGG); 19Apr2012 11:00",9855,6394,689,1094,12652,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY","310069, 2012-04-19, TOTAL",2012,Y,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY",10425.399999999999636,0.984,10259,10300,"(47.68311118200006, -122.31748950699995)",9284.037181567402513
179,68750010,N,10563,FREMONT BR,127,310475,"FREMONT BR, N/O POINT A; TOTAL FLOW; CH(AGG); 17Oct2012 12:00",29378,18035,2041,3014,10563,"FREMONT BR, N/O POINT A","310475, 2012-10-17, TOTAL",2012,Y,"FREMONT BR, N/O POINT A",31130.200000000000728,0.978,30445,30400,"(47.64614702700004, -122.34974100999995)",1563.835201804165763
180,53650010,N,9080,BATTERY ST TUNNEL NB & SB,179,311379,"BATTERY ST TUNNEL (NB&SB), NE/O ALASKAN WY VI NB; TOTAL FLOW; CH(AGG);(2011 DATA) 04Jun2012 11:15",48668,34372,4940,5399,9080,"BATTERY ST TUNNEL (NB&SB), NE/O ALASKAN WY VI NB","311379, 2012-06-04, TOTAL",2012,Y,"BATTERY ST TUNNEL (NB & SB), NE/O ALASKAN WY VI NB",54508.80000000000291,0.964,52546,52500,"(47.61402707700006, -122.34775449899996)",2041.684601680527521
181,162850080,N,20488,S JACKSON ST,79,310081,"S JACKSON ST, E/O 5TH AVE S; TOTAL FLOW; CH(AGG); 08Mar2012 13:15",13086,7292,762,1049,20488,"S JACKSON ST, E/O 5TH AVE S","310081, 2012-03-08, TOTAL",2012,Y,"S JACKSON ST, E/O 5TH AVE S",13200.800000000001091,1.046,13808,13800,"(47.59920694700003, -122.33543958699994)",5255.776994419794391
182,97450080,N,12881,SR509 NB,1,311326,"SR509 (NB&SB), S/O CLOVERDALE ST OFF RP; TOTAL FLOW; CH(AGG); 01May2012 10:45",58027,35121,5206,5329,12881,"SR509 (NB&SB), S/O CLOVERDALE ST OFF RP","311326, 2012-05-01, TOTAL",2012,Y,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",63651.599999999998545,1.002,63779,63800,"(47.51401604400007, -122.32819219199996)",5993.174003368635567
183,161550180,N,20241,S HENDERSON ST,15,310079,"S HENDERSON ST, E/O RENTON AVE S; TOTAL FLOW; CH(AGG); 02Feb2012 12:45",10489,6104,646,942,20241,"S HENDERSON ST, E/O RENTON AVE S","310079, 2012-02-02, TOTAL",2012,Y,"S HENDERSON ST, E/O RENTON AVE S",10902.399999999999636,1.019,11110,11100,"(47.52330726800005, -122.26998603899995)",2223.645760480561421
184,113000310,N,14409,EAST MARGINAL WAY S,30,309955,"EAST MARGINAL WAY S, SE/O 4TH AVE S; TOTAL FLOW; CH(AGG); 30Apr2012 10:45",14562,10381,1406,1477,14409,"EAST MARGINAL WAY S, SE/O 4TH AVE S","309955, 2012-04-30, TOTAL",2012,Y,"EAST MARGINAL WAY S, SE/O 4TH AVE S",17770.400000000001455,0.984,17486,17500,"(47.54389035400004, -122.32962073799996)",5366.358769004497844
185,83030670,N,486569,M L KING JR WAY S NB & SB,145,309987,"M L KING JR (ER&WR) WAY S, S/O S HOLLY ST; TOTAL FLOW; CH(AGG); 27Nov2012 13:30",23280,12832,1530,1908,486569,"M L KING JR (ER&WR) WAY S, S/O S HOLLY ST","309987, 2012-11-27, TOTAL",2012,Y,"M L KING JR ER & WR WAY S, SE/O S HOLLY ST",23655.799999999999272,1.04,24602,24600,"(47.54245258000003, -122.28370215499996)",7186.562463340459544
186,113000390,N,14420,EAST MARGINAL WAY S,88,309957,"EAST MARGINAL WAY S, SE/O BOEING DR; TOTAL FLOW; CH(AGG); 25Jun2012 11:15",16121,11167,1591,1698,14420,"EAST MARGINAL WAY S, SE/O BOEING DR","309957, 2012-06-25, TOTAL",2012,Y,"EAST MARGINAL WAY S, SE/O BOEING DR",19354.600000000002183,0.964,18658,18700,"(47.53426725400004, -122.313197533)",1390.106762320916005
187,50450160,Y,269161,ALASKAN WAY,135,310691,"ALASKAN WAY, SE/O PIKE ST; TOTAL FLOW; CHA TUBE; 18Jul2012 10:30",12308,7340,657,1211,269161,"ALASKAN WAY, SE/O PIKE ST","310691, 2012-07-18, TOTAL",2012,Y,"ALASKAN WAY, SE/O PIKE ST",12578.800000000001091,0.981,12340,12300,"(47.60171754600003, -122.33658213799998)",2699.040329104448119
188,160500030,N,20110,S GRAHAM ST,6,311254,"S GRAHAM ST, E/O SWIFT AVE S; TOTAL FLOW; CH(AGG); 02Apr2012 11:30",17533,8916,1110,1251,20110,"S GRAHAM ST, E/O SWIFT AVE S","311254, 2012-04-02, TOTAL",2012,Y,"S GRAHAM ST, E/O SWIFT AVE S",17645.400000000001455,0.984,17363,17400,"(47.54698097800008, -122.30793669799999)",5651.076124614682158
189,52500700,N,8957,AURORA AVE N,34,311215,"AURORA AVE N, S/O N 80TH ST; TOTAL FLOW; CH(AGG); 01Nov2012 11:30",33907,22368,2937,3579,8957,"AURORA AVE N, S/O N 80TH ST","311215, 2012-11-01, TOTAL",2012,Y,"AURORA AVE N, S/O N 80TH ST",36727.400000000001455,1.04,38196,38200,"(47.65135136100008, -122.34731411199999)",13102.216993323672796
190,52501010,N,8988,AURORA AVE N,57,311038,"AURORA AVE N, S/O N 112TH ST; TOTAL FLOW; CH(AGG); 16Oct2012 11:00",33886,20944,2344,3124,8988,"AURORA AVE N, S/O N 112TH ST","311038, 2012-10-16, TOTAL",2012,Y,"AURORA AVE N, S/O N 112TH ST",36000.599999999998545,0.978,35209,35200,"(47.68694220500004, -122.34450322999999)",8438.973688005238728
191,57900270,N,9555,CALIFORNIA AVE SW,75,311043,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW; TOTAL FLOW; CH(AGG); 06Dec2012 12:15",12604,7473,853,1072,9555,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW","311043, 2012-12-06, TOTAL",2012,Y,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",12757.800000000001091,1.001,12771,12800,"(47.55932475900005, -122.38682986999999)",5272.75741863451276
192,93450300,N,12368,RAINIER AVE S,144,310067,"RAINIER AVE S, SE/O M L KING JR WAY S; TOTAL FLOW; CH(AGG); 06Jun2012 10:45",29638,16512,1832,2390,12368,"RAINIER AVE S, SE/O M L KING JR WAY S","310067, 2012-06-06, TOTAL",2012,Y,"RAINIER AVE S, SE/O M L KING JR WAY S",30588,0.964,29487,29500,"(47.57835004300006, -122.29815071399997)",6332.03144579691434
193,82930400,N,352636,ML KING JR BLVD S NB & SB,246,310412,"M L KING JR (ER&WR) WAY S, N/O S ANDOVER ST; TOTAL FLOW; CH(AGG); 11Oct2012 11:30",18800,11949,1023,1955,352636,"M L KING JR (ER&WR) WAY S, N/O S ANDOVER ST","310412, 2012-10-11, TOTAL",2012,Y,"M L KING JR ER & WR WAY S, N/O S ANDOVER ST",19940.400000000001455,0.978,19502,19500,"(47.60165615300008, -122.29676784199995)",15241.479141705767688
194,31500050,N,6230,4TH AVE S,185,309913,"4TH AVE S, S/O 2ND AV ET S; TOTAL FLOW; CH(AGG); 12Mar2012 10:45",24941,17132,2592,2679,6230,"4TH AVE S, S/O 2ND AV ET S","309913, 2012-03-12, TOTAL",2012,Y,"4TH AVE S, S/O 2ND AV ET S",28153,1.046,29448,29400,"(47.59919689000003, -122.32896751399994)",989.412465069062819
195,95550230,N,12724,SAND POINT WAY NE,226,311322,"SAND POINT WAY NE, S/O NE 74TH ST; TOTAL FLOW; CH(AGG); 06Nov2012 11:00",13889,8810,1124,1489,12724,"SAND POINT WAY NE, S/O NE 74TH ST","311322, 2012-11-06, TOTAL",2012,Y,"SAND POINT WAY NE, S/O NE 74TH ST",14648.25,1.04,15234,15200,"(47.67572242700004, -122.26354467899995)",2627.995763036439712
196,110700050,N,14060,EAST GREEN LAKE DR N,262,311079,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE; TOTAL FLOW; CH(AGG); 13Aug2012 12:00",14313,8561,907,1243,14060,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE","311079, 2012-08-13, TOTAL",2012,Y,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",15198.200000000000728,1.008,15320,15300,"(47.682772372000045, -122.34448441399996)",5942.773878748235802
197,95550200,N,12722,SAND POINT WAY NE,37,311073,"SAND POINT WAY NE, SW/O NE 65TH ST; TOTAL FLOW; CH(AGG); 18Dec2012 13:45",13352,8306,1011,1286,12722,"SAND POINT WAY NE, SW/O NE 65TH ST","311073, 2012-12-18, TOTAL",2012,Y,"SAND POINT WAY NE, SW/O NE 65TH ST",14452,1.001,14466,14500,"(47.66124330500003, -122.29286352199995)",9653.771663458908733
198,82930910,N,489661,M L KING JR WAY S,104,309989,"M L KING JR (ER&WR) WAY S, S/O S NORFOLK ST; TOTAL FLOW; CH(AGG); 09May2012 10:45",30360,16211,1975,2316,489661,"M L KING JR (ER&WR) WAY S, S/O S NORFOLK ST","309989, 2012-05-09, TOTAL",2012,Y,"M L KING JR ER & WR WAY S, S/O S NORFOLK ST",31478,1.002,31541,31500,"(47.50884352400004, -122.27822332499994)",5307.433892252531223
199,118500080,N,519931,N 125TH ST,103,311371,"N 125TH ST, W/O AURORA AVE N; TOTAL FLOW; CH(AGG); 05Sep2012 12:15",0,5422,674,787,519931,"N 125TH ST, W/O AURORA AVE N","311371, 2012-09-05, TOTAL",2012,Y,"N 125TH ST, W/O AURORA AVE N",9275,0.974,9034,9000,"(47.71960135900008, -122.35553853899995)",2609.623381260936185
